,article_title,country,revision_id,article_quality,population,region
73,Abdul Karim Misaq,Afghanistan,1052669338,Stub,41.1,SOUTH ASIA
74,Ali Mohammad (politician),Afghanistan,1050463798,Stub,41.1,SOUTH ASIA
75,Nasruddin Mohseni,Afghanistan,1095044526,Start,41.1,SOUTH ASIA
76,Davood Moradian,Afghanistan,1106284627,Stub,41.1,SOUTH ASIA
77,Zalmai Mujadidi,Afghanistan,1104635001,Start,41.1,SOUTH ASIA
78,Fazal Haq Mujahid,Afghanistan,1113267490,C,41.1,SOUTH ASIA
79,Rahmatullah Nabil,Afghanistan,1112496538,Start,41.1,SOUTH ASIA
80,Sardar Mohammad Nadir Naeem,Afghanistan,1038680015,Stub,41.1,SOUTH ASIA
81,Daoud Naji,Afghanistan,1110983467,Start,41.1,SOUTH ASIA
82,Gholam Rabani Nasher,Afghanistan,916899472,Stub,41.1,SOUTH ASIA
83,Muhammad Yunus Nawandish,Afghanistan,1111494390,C,41.1,SOUTH ASIA
84,Ali Maisam Nazary,Afghanistan,1107279930,Start,41.1,SOUTH ASIA
85,Ghulam Faroq Nijrabi,Afghanistan,1093612575,Stub,41.1,SOUTH ASIA
86,Zabih-U-llah Ghazi Noristani,Afghanistan,1001786762,Start,41.1,SOUTH ASIA
87,Mohammed Tahir Omar,Afghanistan,996093541,Stub,41.1,SOUTH ASIA
88,Nasrin Oryakhil,Afghanistan,1097277701,Start,41.1,SOUTH ASIA
89,Murad Quenili,Afghanistan,1093963498,Stub,41.1,SOUTH ASIA
90,Ghulam Mohammad Rigi,Afghanistan,918256992,Stub,41.1,SOUTH ASIA
91,Ghulam Hassan Safi,Afghanistan,987269301,Stub,41.1,SOUTH ASIA
92,Hanifa Safi,Afghanistan,994195074,Stub,41.1,SOUTH ASIA
93,Amrullah Saleh,Afghanistan,1115022704,FA,41.1,SOUTH ASIA
94,Mohammed Zia Salehi,Afghanistan,889806024,Stub,41.1,SOUTH ASIA
95,Abdul Majid Samim,Afghanistan,1098092701,Stub,41.1,SOUTH ASIA
96,Saber Sangar,Afghanistan,1019860497,Stub,41.1,SOUTH ASIA
97,Muhammad Arif Sarwari,Afghanistan,1079170926,Start,41.1,SOUTH ASIA
98,Sayed Nasim Mihanparast,Afghanistan,1115496635,Stub,41.1,SOUTH ASIA
99,Sayyid Husayn,Afghanistan,1095559301,Stub,41.1,SOUTH ASIA
100,Suhail Shaheen,Afghanistan,1102910228,Start,41.1,SOUTH ASIA
101,Mohammad Shakir Kargar,Afghanistan,1096574840,C,41.1,SOUTH ASIA
102,Baktash Siawash,Afghanistan,1111917754,Stub,41.1,SOUTH ASIA
103,Awtar Singh,Afghanistan,1115100619,Stub,41.1,SOUTH ASIA
104,Hasan Ali Sultani,Afghanistan,1060706902,Stub,41.1,SOUTH ASIA
105,Faramarz Tamanna,Afghanistan,1106885861,C,41.1,SOUTH ASIA
